StudyID,Var1,Freq,Vessel,Side
6ba7f978-80f7-4460-a0d9-0f8042112225,0,2,,
d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf,0,2,,
5af257e3-1c25-4e41-9d7b-4e017fb5b981,ECA,1,ECA,
03958613-4da9-4de2-8e6b-f63c33a392e1,external carotid artery,12,ECA,
1a12d870-e9b4-43c4-af98-a3f1b5caad5e,external carotid artery,12,ECA,
2ea6da77-9ff3-41a6-9ad5-a46de336416b,external carotid artery,12,ECA,
3f09f535-cd4b-4f7d-bfc9-41abbf85dbef,external carotid artery,12,ECA,
40090fa0-6946-4076-ba23-9c5b699a5c6e,external carotid artery,12,ECA,
49221963-9cb6-4a25-8dae-48290990747d,external carotid artery,12,ECA,
6f303a27-1ca6-4ff9-9ece-b4d557d2e5e0,external carotid artery,12,ECA,
c2fed96c-4b03-4ae9-907f-a7f58202e6fa,external carotid artery,12,ECA,
d9b32b94-334f-4bf7-bf75-2b74b39c4d75,external carotid artery,12,ECA,
ef45a356-7026-45c3-ab9c-6d94465bb727,external carotid artery,12,ECA,
f068ccce-fdb6-4e46-8644-69d64f427305,external carotid artery,12,ECA,
f0846ef5-5cfe-4481-a655-5b3b63d47e49,external carotid artery,12,ECA,
fec0d187-a931-44ba-b015-d8fe5398a17f,External carotid artery,1,ECA,
aadfb399-9468-4126-8bac-95f20fb9bf16,external carotid artery (ECA),1,ECA,
487d51c4-eb75-4458-bfb2-e038b743a4ce,left ECA,1,ECA,left
d4d7776b-93ce-43d4-a9b4-4278088aa35f,Left ECA,1,ECA,left
1e244eff-656f-4a3e-b275-5002e5547e76,left external carotid artery,13,ECA,left
3b028a2e-bee1-4199-b86d-22736264a99b,left external carotid artery,13,ECA,left
61702aff-9b39-42fe-8c00-c62c2bff42ae,left external carotid artery,13,ECA,left
6e8bdf4f-1be9-475c-8883-4bbbb6310b66,left external carotid artery,13,ECA,left
7faa52e0-6c96-4611-92ae-5e938b1af4f7,left external carotid artery,13,ECA,left
85471734-be40-44d0-b54e-216a1aeb6214,left external carotid artery,13,ECA,left
971d93e5-4b91-4cdc-884d-1069d7400db7,left external carotid artery,13,ECA,left
bf530f50-f645-4103-8719-029e8d9c9fcb,left external carotid artery,13,ECA,left
cf210ee3-a04e-4036-a0d9-238e7caf7a06,left external carotid artery,13,ECA,left
dee61796-1b46-4e5f-9755-a3af31005637,left external carotid artery,13,ECA,left
e99bd6b7-7e0b-4047-a4b3-b277aab80a2c,left external carotid artery,13,ECA,left
ee082119-c743-475e-af5f-27fef5150192,left external carotid artery,13,ECA,left
ef4ad15c-3f9b-4efd-84a1-ab94609caceb,left external carotid artery,13,ECA,left
40eb6735-2129-464e-b255-3ecc0c1dd2a2,left external carotid artey,1,ECA,left
4e20f054-08ef-4296-994e-6ca213e76698,left internal carotid artery,2,ICA,left
e8f3a66e-4af1-4db5-94f6-57c198c2ef32,left internal carotid artery,2,ICA,left
55615754-99dc-4dba-a628-da3b780a3d99,left internal carotid artery (ICA),1,ICA,left
11660f81-c343-4396-a097-74ca3430d6fa,right external carotid artery,4,ECA,right
2f3c1ffb-db00-4396-81d1-2051871f6170,right external carotid artery,4,ECA,right
7aa59db0-c9d4-45a0-9bca-8fa61bc41df8,right external carotid artery,4,ECA,right
7e7d3286-31d1-4376-8373-8445a381b577,right external carotid artery,4,ECA,right
4c4e2785-7a37-4372-a212-00a99a93b34a,right external carotid artery (ECA),1,ECA,right
33be5e82-27b6-422f-9318-cdd8bef0fc9b,right middle cerebral artery,1,MCA,right
